LOCALES,,,,,,,,,,,,,,DEPARTAMENTOS,,,,,,,,,,
DIRECCION,PROPIEDADS,PRECIOUSD,PRECIOPESO,USDM2,PESOSM2,ANTIG,EN_GALERIA,COTIZ_,TRIMESTRE_,BARRIOS_,COMUNA_,,,Direccion,PropiedadS,Dolares,Pesos,DolaresM2,PesosM2,Ambientes,Cotizacion,Trimestre,Barrio,Comunas
"ACUÑA DE FIGUEROA, FRANCISCO 1000",26,87000,5481000,3346,3346,5,SI,63,PRIMER,ALMAGRO,5,,,Pje Cnel J F Bogado 4561,17,54900,3513600,3229,206682,1,64,SEGUNDO,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 400",34,92000,5796000,2706,2706,45,NO,63,PRIMER,ALMAGRO,5,,,BOGADO 4500,18,53000,3392000,2944,188444,1,64,SEGUNDO,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 900",60,110000,6930000,1833,1833,0,NO,63,PRIMER,ALMAGRO,5,,,Pte H Yrigoyen 3381,25,45000,2880000,2500,160000,1,64,SEGUNDO,ALMAGRO,5
"ACUÑA DE FIGUEROA, FRANCISCO 909",29,60000,3780000,2069,2069,40,NO,63,PRIMER,ALMAGRO,5,,,PASAJE BOGADO 4500,18,41000,2624000,2278,145778,1,64,SEGUNDO,ALMAGRO,5
BELGRANO 3800,334,380000,23940000,1138,1138,65,NO,63,PRIMER,ALMAGRO,5,,,Estado de Palestina 500,18,58900,3769600,3272,209422,1,64,SEGUNDO,ALMAGRO,5
BILLINGHURST 100,212,270000,17010000,1274,1274,45,NO,63,PRIMER,ALMAGRO,5,,,Mario Bravo al 200 0,23,60000,3840000,3158,202105,1,64,SEGUNDO,ALMAGRO,5
BILLINGHURST 900,114,350000,22050000,3070,3070,5,NO,63,PRIMER,ALMAGRO,5,,,Gascon al 1000 0,47,75000,4800000,3750,240000,1,64,SEGUNDO,ALMAGRO,5
BOEDO 700,13,35000,2205000,2692,2692,40,NO,63,PRIMER,ALMAGRO,5,,,Don Bosco 3586,42,46900,3001600,2233,142933,1,64,SEGUNDO,ALMAGRO,5
"BRAVO, MARIO 600",42,90000,5670000,2143,2143,40,NO,63,PRIMER,ALMAGRO,5,,,Colombres 585,21,56900,3641600,2710,173410,1,64,SEGUNDO,ALMAGRO,5
"BRAVO, MARIO 800",94,190000,11970000,2021,2021,55,NO,63,PRIMER,ALMAGRO,5,,,Capital 0,26,63000,4032000,2864,183273,1,64,SEGUNDO,ALMAGRO,5
